R,G,B
43.55671098,93.69779160,59.26725986
43.35205832,93.87843053,59.27594340
43.38572041,93.90308748,59.26329331
43.46698113,93.95197256,59.24013722
43.44661235,94.00879074,59.29995712
43.48563465,94.00021441,59.30767581
43.46826758,94.01736707,59.29116638
43.44897084,94.07568611,59.34112350
43.51254288,94.06678816,59.37725129
43.53409091,94.11299314,59.40222985
43.52990995,94.15662521,59.34037307
43.55831904,94.19382504,59.39493997
43.54041595,94.22587907,59.43492710
43.56271441,94.26854631,59.44328902
43.57515009,94.30199400,59.45186535
43.58501286,94.32750858,59.44178816
43.62349914,94.37371355,59.48306175
43.60430961,94.40469554,59.47201973
43.60752573,94.44071612,59.46580189
43.50021441,94.44018010,59.44296741
43.21858919,94.17806604,59.18514151
43.12735849,94.03023156,59.12156947
43.16884648,94.00868353,59.13647084
43.22652230,94.00889794,59.17570755
43.28151801,93.97212693,59.20840480
43.30360206,93.92174099,59.14879931
43.30156518,93.83994425,59.11781732
43.33972985,93.84187393,59.13304031
43.36856775,93.82632933,59.12392796
43.37960978,93.80692539,59.14161664
43.38111063,93.77176244,59.14697684
43.04706261,93.11674528,58.46858919
43.05285163,93.10452401,58.47437822
43.07772298,93.11288593,58.46108491
43.08018868,93.11685249,58.44875643
43.10506003,93.17302744,58.56882504
43.10516724,93.16520154,58.53505575
43.09648370,93.19125214,58.53602058
43.11181389,93.19671955,58.49110206
43.10527444,93.21633791,58.50493139
43.12682247,93.25010720,58.55799743
43.11417238,93.25889794,58.55199400
43.14054460,93.29684820,58.57515009
43.13893654,93.31239280,58.60227273
43.14804889,93.36824614,58.58887221
43.14108062,93.41616638,58.62778731
43.16048456,93.44521870,58.64161664
43.18181818,93.48563465,58.63464837
43.17281304,93.50150086,58.64772727
43.13840051,93.53505575,58.62403516
42.93385506,93.38990137,58.47652230
42.75375214,93.19093053,58.33544168
42.77240566,93.14247427,58.30242281
42.84680532,93.11288593,58.35345197
42.87285592,93.07075472,58.34155232
42.87864494,93.02572899,58.35463122
42.88668525,92.98724271,58.34466123
42.92302744,92.95004288,58.36513722
42.97105489,92.95154374,58.31775300
42.98134648,92.92710120,58.33319039
42.97855918,92.89043739,58.33812178
42.99378216,92.88228988,58.32632933
43.00300172,92.86020583,58.27787307
43.04030875,92.86192110,58.32697256
43.08233276,92.88057461,58.36406518
43.07740137,92.89301029,58.38379074
43.10570326,92.90844768,58.37178388
43.11653087,92.93685678,58.40812607
43.11846055,92.95207976,58.43985849
43.12006861,92.97705832,58.41209262
43.15190823,93.01725986,58.48209691
43.14526158,93.03848628,58.47737993
43.16520154,93.09123070,58.49003002
43.16316467,93.11663808,58.49528302
43.16541595,93.15255146,58.50503859
43.16788165,93.18975129,58.52808748
43.16498714,93.21665952,58.55735420
43.17088336,93.25707547,58.54202401
43.18213979,93.30778302,58.55992710
43.09058748,93.27347770,58.50375214
42.86524443,93.11610206,58.41648799
42.80360206,92.96633791,58.28966552
42.83018868,92.98070326,58.30102916
42.88625643,92.99431818,58.32322041
42.91305746,92.96515866,58.34444683
42.93353345,92.95347341,58.35506003
42.95079331,92.92999571,58.31142796
42.98274014,92.90555317,58.31893225
42.99078045,92.91573756,58.34669811
42.97770154,92.88014580,58.33833619
42.97566467,92.88925815,58.34766295
43.00707547,92.90308748,58.33447684
