R,G,B
69.45872642,68.81657376,64.50696827
69.44082333,68.74828473,64.48949400
69.68524871,69.09669811,64.78259005
69.84219554,69.40158662,64.95325901
69.82364923,69.45143654,64.96494425
69.82107633,69.48145369,64.96837479
69.84755575,69.57847341,64.98692110
69.98349057,69.81239280,65.17281304
70.08308319,70.04834906,65.27497856
70.17913808,70.26168525,65.43685678
70.29770583,70.48874357,65.50932676
70.31024871,70.64236707,65.57697256
70.48059605,70.88432676,65.70079331
70.50085763,70.99764151,65.74635506
70.62092624,71.20733276,65.88486278
70.71612350,71.41723842,66.01050600
70.75407376,71.57611492,66.04052316
70.83619211,71.78001715,66.12735849
70.90469554,72.03012436,66.27304889
71.02626501,72.27412093,66.46344340
71.05360206,72.49399657,66.57246998
71.13507719,72.68953688,66.67517153
71.10012864,72.78666381,66.73327616
70.67710120,72.11320755,66.27379931
70.15512436,71.08008148,65.68106775
69.98488422,70.61760292,65.40340909
69.94993568,70.46087050,65.32386364
69.83168954,70.23198971,65.19489708
69.71944683,69.96365780,65.09273156
69.66402230,69.76650943,64.97469983
69.90576758,70.02219125,65.24689108
70.03741424,70.25203688,65.34959262
69.90008576,70.14043739,65.24356775
69.90769726,70.10323756,65.24603345
69.93910806,70.12285592,65.24742710
70.02990995,70.27476415,65.37746569
70.14440395,70.43878645,65.44800600
70.20497427,70.57547170,65.57783019
70.30456690,70.77647942,65.69286021
70.35034305,70.85098628,65.73134648
70.44018010,70.99356775,65.81603774
70.49388937,71.11888937,65.89654803
70.46312178,71.23520583,65.81110635
70.60570326,71.38593482,65.99378216
70.65759005,71.54631218,66.06475129
70.74807033,71.79759863,66.23434820
70.83383362,71.90222985,66.28451973
70.91938250,72.11470840,66.30574614
70.80767581,72.05317324,66.30317324
70.24517581,71.10774014,65.76061321
69.68685678,70.04148799,65.11052744
69.46301458,69.49839194,64.86953259
69.42270583,69.23681389,64.76082762
69.22116209,68.80478130,64.50889794
69.08501286,68.40855489,64.29427530
68.99281732,68.15255146,64.23081046
69.20808319,68.35623928,64.40062178
69.41134220,68.61417238,64.56378645
69.33812178,68.52615780,64.47598628
69.31282161,68.46312178,64.42774443
69.32686535,68.50139365,64.43192539
69.50064322,68.72062607,64.60956261
69.59584048,68.88786449,64.73091767
69.66412950,69.03441252,64.78677101
69.76522298,69.21012007,64.89301029
69.74260292,69.31207118,64.92463551
69.86267153,69.48145369,65.01597341
69.99774871,69.67313465,65.17828045
70.04191681,69.78998714,65.23531304
70.14976415,69.97673671,65.29491852
70.21472985,70.14161664,65.43535592
70.29813465,70.35130789,65.57236278
70.33704974,70.46676672,65.58383362
70.41670240,70.69114494,65.66069897
70.60120069,70.92367067,65.86620926
70.63840051,71.05113636,65.92635077
70.64772727,71.12307033,65.92324185
70.03301887,70.27229846,65.29716981
69.28473413,68.89879931,64.58447684
68.99989280,68.06657376,64.21901801
68.90072899,67.69511149,64.03366209
68.73359777,67.26790309,63.83544168
68.44039451,66.71140652,63.54545455
68.29105918,66.36417238,63.32900943
68.33072470,66.37231990,63.40298027
68.68042453,66.79706261,63.74560463
68.78580617,67.00021441,63.83662093
68.73574185,66.94521870,63.77390652
68.80767581,67.02551458,63.81432247
68.94843482,67.21022727,63.94071612
69.13411235,67.50139365,64.07793739
69.25385935,67.70797599,64.26736707
69.36556604,67.91423671,64.28966552
69.47716552,68.09916381,64.42013293
69.57472127,68.32171955,64.51704545
69.68685678,68.50825472,64.64204545
69.75139365,68.66734563,64.71858919
69.86963979,68.93739280,64.86856775
69.95561750,69.09433962,64.93803602
70.05167238,69.34541166,65.09133791
70.20240137,69.58833619,65.24313894
70.22148370,69.73584906,65.31153516
70.35002144,69.97845197,65.42077616
70.43042453,70.14804889,65.53141081
70.46740995,70.33704974,65.55789022
70.59680532,70.58587050,65.73209691
70.66691681,70.78334048,65.86267153
70.62500000,70.79009434,65.81046312
69.83822899,69.61095626,65.04020154
69.14772727,68.16144940,64.33083190
68.79931389,67.31110635,63.85098628
68.71633791,67.01693825,63.80789022
68.51758148,66.67795883,63.59198113
68.26811750,66.18278302,63.24388937
68.12875214,65.84273156,63.11888937
68.24892796,65.99485420,63.26050600
68.64922813,66.53880789,63.61963979
68.67034734,66.65340909,63.64890652
68.66037736,66.64858491,63.61127787
68.72244854,66.73359777,63.69350343
68.87875214,66.95765437,63.84830617
69.06582333,67.20733276,64.00407376
69.15147942,67.43063894,64.06764580
69.33394082,67.70165094,64.19779160
69.44629074,67.89247427,64.29620497
69.56121355,68.12832333,64.45293739
69.64579760,68.32975986,64.54416810
69.75750429,68.50986278,64.67131218
69.89376072,68.74667667,64.77883791
69.89740566,68.90169383,64.82557890
70.10216552,69.19629074,65.01833190
70.15147942,69.39033019,65.14847770
70.28473413,69.61363636,65.19018010
70.34412521,69.81989708,65.30445969
70.37575043,69.97866638,65.38925815
70.44886364,70.22930961,65.52626501
70.60259434,70.44071612,65.65555317
70.67656518,70.64719125,65.82064751
70.68321184,70.73295455,65.81893225
70.08747856,69.94554031,65.25385935
69.25407376,68.33554889,64.39451115
68.77519297,67.22566467,63.80242281
68.70272298,66.93021012,63.71537307
68.55874786,66.65608919,63.56839623
68.38003859,66.27433533,63.33908662
68.26136364,65.95325901,63.17945969
68.43964408,66.15748285,63.37189108
68.73949400,66.64472556,63.73542024
68.73284734,66.68074614,63.67538593
68.74131647,66.69757719,63.65984134
68.74678388,66.70047170,63.64815609
68.89837050,66.92667238,63.84155232
69.05145798,67.11749571,63.93803602
69.27798027,67.42763722,64.13797170
69.39847770,67.70872642,64.22009005
69.45979846,67.86202830,64.35302316
69.55274443,68.05403087,64.40030017
69.63754288,68.21215695,64.47094768
69.75471698,68.40287307,64.61706690
69.85570326,68.63207547,64.69918525
69.93128216,68.83608491,64.80521012
70.03912950,69.05821184,64.96987564
70.14365352,69.28387650,65.08490566
70.30563894,69.57193396,65.20679674
70.35409520,69.71580189,65.31550172
70.27530017,69.70604631,65.27744425
69.50064322,68.56925386,64.57204117
68.70679674,67.02154803,63.73745712
68.44050172,66.32129074,63.38111063
68.37221269,66.07268439,63.27894511
68.23777873,65.82504288,63.13743568
68.07118353,65.46440823,62.97169811
68.06882504,65.33533448,62.89601201
68.34541166,65.72341338,63.20754717
68.54716981,66.09369640,63.41016295
68.53441252,66.12746569,63.40919811
68.55049314,66.13346913,63.34358919
68.66112779,66.26104202,63.48445540
68.84423242,66.54792024,63.59337479
69.00503859,66.82450686,63.81142796
69.15630360,67.10613208,63.95004288
69.26007719,67.32096913,64.12092624
69.37178388,67.52915952,64.19403945
69.51361492,67.79470412,64.33672813
69.60377358,67.96119211,64.38786449
69.72662950,68.18953688,64.47641509
69.82129074,68.36974700,64.58222556
69.96247856,68.63829331,64.77487136
70.07750858,68.86545883,64.89118782
70.17838765,69.05981990,65.02229846
70.27444254,69.30831904,65.15887650
70.37843053,69.54631218,65.30681818
70.51586621,69.81110635,65.43589194
70.52540738,69.93964408,65.41584477
70.11481561,69.44414666,65.00460978
69.07579331,67.64011578,64.10902659
68.37982419,66.29534734,63.31250000
68.23306175,65.75300172,63.14451115
68.13304031,65.48960120,62.95808319
67.96194254,65.12253431,62.74860635
67.69907804,64.68171098,62.44736278
67.68010292,64.49378216,62.43417667
68.05038593,64.95218696,62.75879074
68.27272727,65.36792453,63.02229846
68.29213122,65.41948971,63.04770583
68.29030875,65.43310463,63.05274443
68.41305746,65.62146226,63.13668525
68.62060463,65.90426672,63.34037307
68.74581904,66.20701115,63.45593911
68.88196827,66.47587907,63.58158233
68.97062607,66.64858491,63.63679245
69.16584477,66.92978130,63.92656518
69.25761149,67.13689966,63.91391509
69.38872213,67.34841338,64.11149228
69.49689108,67.59959262,64.28226844
69.61535163,67.80981990,64.35634648
69.74474700,68.06635935,64.38689966
69.85280875,68.25439537,64.52605060
69.96355060,68.49571184,64.67324185
70.10698971,68.74656947,64.82054031
70.22030446,68.98038165,64.92099057
70.37789451,69.24774871,65.07579331
70.38046741,69.42163379,65.07707976
69.96590909,68.88915094,64.75514580
68.89429674,67.08747856,63.71290738
68.29148799,65.81421527,63.12467839
68.14686964,65.37735849,62.86556604
68.08533448,65.10784734,62.69060892
67.84476844,64.66316467,62.46569468
67.64526158,64.23038165,62.21901801
67.69950686,64.18985849,62.23466981
68.03398370,64.64697684,62.56593053
68.28334048,65.11417238,62.78248285
68.27787307,65.14451115,62.77079760
68.32354202,65.18267581,62.79223842
68.43942967,65.36931818,62.92677959
68.60184391,65.60141509,63.09755575
68.83040309,65.93289022,63.30939108
68.98745712,66.23359777,63.42956690
69.12028302,66.46505146,63.54288165
69.18235420,66.71601630,63.62467839
69.35999142,66.96290738,63.79202401
69.49024443,67.18728559,63.90190823
69.54266724,67.38679245,63.94982847
69.76179245,67.69446827,64.18160377
69.86299314,67.92710120,64.33619211
69.98209691,68.15490995,64.43792882
70.12006861,68.42088336,64.57975986
70.25900515,68.61599485,64.68825043
70.39000858,68.89108062,64.81668096
70.50407376,69.11213551,64.95390223
70.63593482,69.39022298,65.13593482
70.74635506,69.59712693,65.17731561
70.56132075,69.43932247,65.04373928
69.58865780,67.97759434,64.15619640
68.78355489,66.46108491,63.32579331
68.65405232,65.91691681,63.01961835
68.58490566,65.65994854,62.96869640
68.45701115,65.34680532,62.76232847
68.20175815,64.91873928,62.44446827
68.22984563,64.84133791,62.45433105
68.56700257,65.24174528,62.82086192
68.68825043,65.52937393,63.02572899
68.68353345,65.53173242,62.97748714
68.65941252,65.50353774,62.94093053
68.75932676,65.65383791,62.99410377
68.92892367,65.93321184,63.19371784
69.09187393,66.18814322,63.32922384
69.23327616,66.44854202,63.52830189
69.32783019,66.70454545,63.67731561
69.43610635,66.91938250,63.72234134
69.51050600,67.10120069,63.76715266
69.63153945,67.29877787,63.87725129
69.71076329,67.51029160,63.95540309
69.77497856,67.66563036,64.13411235
69.92463551,67.94093053,64.25932676
70.08662093,68.19725557,64.38636364
70.20743997,68.45743997,64.52090480
70.29105918,68.61460120,64.57858062
70.20197256,68.58769297,64.51650943
69.34080189,67.38111063,63.73123928
68.54320326,65.82214837,62.98445540
68.40876930,65.24131647,62.61052744
68.35205832,65.00257290,62.50943396
68.20861921,64.71054889,62.35205832
68.01972556,64.29545455,62.13164666
68.01243568,64.27465695,62.15501715
68.35377358,64.69210978,62.55853345
68.44746998,64.93717839,62.58897942
68.39815609,64.95990566,62.58576329
68.34723413,64.91584477,62.50460978
68.47748714,65.07311321,62.58276158
68.66702401,65.35055746,62.80574614
68.81003431,65.66445111,62.99871355
68.91948971,65.95250858,63.16284305
68.99946398,66.10859777,63.19972127
69.13679245,66.38507719,63.39322470
69.21730274,66.53762864,63.46966123
69.33501286,66.73702830,63.64740566
69.40619640,66.94864923,63.64933533
69.56400086,67.17913808,63.77283448
69.68406947,67.44093053,63.93364065
69.72309177,67.64097341,64.00568182
69.86117067,67.87467839,64.19822041
69.91584477,68.02240566,64.24689108
70.11824614,68.33544168,64.45315180
70.19864923,68.52090480,64.52883791
70.24421098,68.66938250,64.62542882
70.12307033,68.59155232,64.53108919
69.06014151,67.03012436,63.52240566
68.22512864,65.36470840,62.65909091
67.88743568,64.53216123,62.15330189
67.80596055,64.24742710,62.07054031
67.59487564,63.79663379,61.81657376
67.27840909,63.24946398,61.54084477
67.11813894,62.96740995,61.39129503
67.26500858,63.08747856,61.45347341
67.65619640,63.62768010,61.87231990
67.61771012,63.73048885,61.86985420
67.63143225,63.72191252,61.84927101
67.68439108,63.82075472,61.90566038
67.82750858,64.07064751,62.02733705
68.00750429,64.35891938,62.25171527
68.19511149,64.68331904,62.43310463
68.28677101,64.94500429,62.55456690
68.39065180,65.12800172,62.65394511
68.52862350,65.39783448,62.78955832
68.58147513,65.62778731,62.88786449
68.73917238,65.84058748,63.02733705
68.84326758,66.09991424,63.18439108
68.97780875,66.39440395,63.30306604
69.09787736,66.65984134,63.45465266
69.19275300,66.88421955,63.56367925
69.31421527,67.12060463,63.71044168
69.43953688,67.41252144,63.77551458
69.56035592,67.68171098,63.94200257
69.69339623,67.91959691,64.12564322
69.78162521,68.11417238,64.22566467
69.28076758,67.58951544,63.78527015
