R,G,B
75.75943396,66.72598628,64.19382504
75.82375643,66.89236707,64.48456261
75.86653087,67.07279160,64.58029588
75.91027015,67.09852058,64.58565609
75.61899657,66.59498285,64.05145798
75.03902230,65.71376501,63.45583190
74.76072041,65.15008576,63.18867925
74.67152659,64.87607204,63.29202401
74.65748285,64.77733705,63.25396655
74.62789451,64.67034734,63.16648799
74.57611492,64.58018868,63.11706690
74.62660806,64.65555317,63.16670240
74.74206690,64.79974271,63.31367925
74.78130360,64.87349914,63.30253002
74.77647942,64.88947256,63.30971269
74.75707547,64.87585763,63.27637221
74.84937822,64.98788593,63.32450686
74.99056604,65.15051458,63.45368782
75.07064751,65.31593053,63.61695969
75.11202830,65.43921527,63.65405232
75.20936964,65.67420669,63.82214837
75.29481132,65.79009434,63.81689537
75.39118782,65.94414666,63.92613636
75.45250858,66.10774014,63.98424099
75.50728988,66.25171527,64.06861063
75.63722127,66.47620069,64.17324185
75.66541595,66.56185678,64.24646226
75.78516295,66.74442539,64.36492281
75.85098628,66.89172384,64.43610635
75.90887650,67.06882504,64.34476844
76.00761149,67.30070755,64.53955832
75.49882075,66.87382075,63.95079331
75.18203259,66.41595197,63.69661235
74.70711835,65.67345626,63.19275300
74.37650086,65.15373070,62.93267581
74.37789451,65.03719983,62.92292024
74.39633362,64.95272298,62.95079331
74.37221269,64.87156947,62.91059177
74.33061750,64.75171527,62.82311321
74.37435678,64.84562607,62.90201544
74.45154374,64.92388508,62.93953688
74.48595626,64.96151372,62.96258576
74.46344340,64.96794597,62.96837479
74.48231132,64.96129931,62.93664237
74.54974271,65.03859348,63.00300172
74.55499571,65.12253431,62.99453259
74.67174099,65.30381647,63.20261578
74.70540309,65.42731561,63.19532590
74.83083190,65.57847341,63.31796741
74.87274871,65.71580189,63.41048456
74.94521870,65.84637650,63.45851201
75.00728988,65.97898799,63.49892796
75.00557461,66.04459691,63.53709262
75.13314751,66.22855918,63.62371355
75.18160377,66.33554889,63.70754717
75.26189966,66.50889794,63.81700257
75.35924099,66.68235420,63.89740566
75.38700686,66.81346484,63.88915094
75.24914237,66.69939966,63.85763293
74.71012007,65.93224700,63.33211835
74.30853345,65.28580617,62.98263293
74.15619640,64.95079331,62.77454974
74.07354202,64.78344768,62.69082333
74.07171955,64.63647084,62.63882933
73.94414666,64.42077616,62.51683105
73.99849914,64.36856775,62.56560892
73.99431818,64.39933533,62.54406089
74.04631218,64.46397942,62.56710978
74.04180961,64.44982847,62.62156947
73.99828473,64.41380789,62.59283877
74.00257290,64.41595197,62.63078902
74.05113636,64.42013293,62.59680532
74.12124786,64.52390652,62.68213979
74.15094340,64.59198113,62.70904803
74.20325901,64.69811321,62.73520583
74.24924957,64.78998714,62.80542453
74.26157804,64.90287307,62.89665523
74.36749571,65.03066038,62.96740995
74.41541595,65.11695969,63.02262007
74.46869640,65.23563465,63.04245283
74.50471698,65.32740137,63.12928816
74.60677530,65.48670669,63.21976844
74.66756003,65.59937822,63.33158233
74.70808319,65.70765437,63.33930103
74.80424528,65.85463122,63.39837050
74.83147513,65.92302744,63.45004288
74.84809177,66.02990995,63.50889794
74.38025300,65.44157376,63.07086192
73.87510720,64.64204545,62.62424957
73.60323756,64.05285163,62.28677101
73.51168525,63.73810034,62.11052744
73.40769726,63.51768868,61.99174528
73.24120926,63.20433105,61.85313036
73.13765009,62.95561750,61.77722985
73.16337907,62.95561750,61.81024871
73.19886364,62.99088765,61.81914666
73.27722985,63.05874786,61.88550600
73.26050600,63.04395369,61.87971698
73.25428816,63.01801029,61.87821612
73.27819468,63.03527015,61.85581046
73.33179674,63.09894940,61.92763722
73.41723842,63.18653516,61.98820755
73.48123928,63.31035592,62.07450686
73.57783019,63.46783877,62.17967410
73.61771012,63.55638937,62.14879931
73.65383791,63.67527873,62.22802316
73.71033448,63.76350772,62.26886792
73.78173242,63.87950257,62.34391081
73.84337479,64.00653945,62.43942967
73.95197256,64.20583190,62.53473413
73.99731990,64.32450686,62.61717410
74.11299314,64.49721269,62.71783877
74.19768439,64.65330189,62.80338765
74.19972127,64.73745712,62.82729417
74.28505575,64.88647084,62.92892367
74.34616209,65.03462693,62.98595626
74.48381218,65.26297170,63.11695969
74.41359348,65.26243568,63.09562607
74.00289451,64.73960120,62.71580189
73.50750429,64.03602058,62.23970840
73.30403087,63.59777015,62.03623499
73.27454974,63.38561321,61.95915523
73.21848199,63.17560034,61.92002573
73.10956261,62.98777873,61.78237564
73.00761149,62.83201115,61.68557033
73.07246998,62.89365352,61.72963122
73.19489708,63.03945111,61.85698971
73.24067324,63.10002144,61.92141938
73.26179245,63.12071184,61.93846484
73.25460978,63.14783448,61.91241424
73.36374357,63.26640223,62.03183962
73.39386792,63.36020583,62.05253002
