R,G,B
71.62403516,59.52304889,62.07622213
71.41027015,59.52197684,61.78462693
71.48306175,59.40930532,62.10055746
71.46226415,59.21998285,61.93310463
71.47630789,59.23295455,61.86717410
71.43535592,59.32750858,61.98102487
71.56550172,59.40748285,62.05220840
71.57879503,59.50546741,61.94135935
71.67688679,59.59348199,62.03880789
71.73252573,59.68621355,62.13411235
71.77915952,59.76522298,62.20497427
71.89150943,59.88936535,62.24228130
71.95497427,59.99849914,62.30424528
71.97405660,60.05295883,62.34734134
72.09133791,60.18867925,62.48734991
72.19468268,60.35527444,62.46762436
72.25171527,60.43246141,62.50900515
72.35591767,60.56217839,62.58426244
72.39247427,60.67913808,62.69864923
72.50675386,60.83930103,62.73960120
72.61170669,60.97191252,62.85806175
72.68771441,61.10623928,62.92720840
72.82847341,61.27358491,63.03259005
72.91166381,61.41123499,63.10548885
73.01275729,61.55285163,63.19264580
73.05220840,61.65533877,63.20358062
73.16670240,61.83780017,63.35216552
73.23456261,61.95583190,63.36513722
73.33265437,62.07793739,63.49088765
73.40501715,62.21655232,63.50192967
73.46226415,62.34562607,63.55746141
72.93481990,61.80660377,62.93524871
72.19682676,60.87907376,62.36192110
71.39258148,59.78666381,61.68289022
70.95915523,59.05606775,61.22909520
70.82268439,58.74378216,61.17817324
70.79009434,58.63293310,61.14472556
70.74924957,58.53033877,61.12360635
70.65480274,58.39129503,61.03301887
70.56721698,58.23081046,60.93878645
70.59594768,58.25182247,60.95465266
70.58715695,58.23466981,60.94714837
70.51704545,58.11888937,60.84058748
70.42056175,58.00439537,60.75782590
70.39225986,57.95443825,60.77069039
70.47995283,57.99153087,60.83479846
70.53098199,58.08715695,60.89268868
70.66466552,58.21355060,61.01007719
70.75996998,58.38025300,61.06978988
70.90094340,58.57032590,61.15180103
71.00739708,58.69972127,61.28870069
71.11685249,58.82890223,61.38057461
71.23209691,58.98274014,61.49517581
71.32032590,59.13722127,61.55038593
71.35966981,59.22695111,61.59337479
71.49174528,59.41520154,61.70100772
71.59080189,59.54877787,61.76768868
71.63786449,59.64301029,61.79138079
71.72705832,59.77894511,61.86427959
71.86653087,59.96515866,62.02026158
71.98413379,60.09048027,62.08469125
72.10709691,60.29727702,62.20336621
72.14301029,60.45175815,62.18439108
72.27101201,60.59433962,62.31732419
72.41134220,60.77926672,62.46237136
72.47448542,60.88807890,62.54288165
72.61170669,61.06024871,62.61170669
72.72802316,61.23166810,62.69800600
72.82118353,61.40523156,62.76500858
72.91906089,61.55199400,62.84551887
72.99667667,61.70036449,62.95336621
73.12071184,61.86663808,63.07482847
73.17088336,61.95283019,63.06174957
72.64804889,61.33587050,62.57000429
71.84487564,60.38582762,62.01211407
71.47662950,59.74957118,61.71333619
71.36899657,59.48820755,61.60741852
71.35591767,59.42131218,61.64987136
71.31046312,59.32547170,61.53987993
71.28033877,59.22737993,61.49496141
71.15844768,59.07783019,61.38314751
71.15876930,59.07236278,61.41691681
71.14601201,59.06174957,61.42152659
71.07600772,58.93878645,61.32129074
71.02926672,58.81593053,61.27283448
70.97277015,58.77015437,61.22469983
71.00010720,58.77819468,61.26833190
71.05263722,58.85559605,61.32429245
71.15158662,58.97662950,61.40608919
71.24656947,59.09927101,61.46655232
71.37221269,59.23820755,61.58168954
71.50171527,59.39022298,61.65801887
71.55038593,59.49399657,61.69939966
71.59498285,59.66530875,61.75343053
71.68760720,59.75150086,61.84090909
71.79781304,59.89215266,61.94639794
71.90759005,60.03366209,62.03451973
71.98488422,60.15040738,62.06400086
72.09294597,60.28784305,62.15898370
72.18385506,60.41756003,62.17913808
72.28955832,60.59573328,62.32214837
72.36556604,60.69639794,62.39794168
72.48252573,60.89504717,62.49260292
72.57579331,61.04813465,62.56850343
72.71783877,61.23198971,62.71097770
72.81121355,61.36267153,62.76575901
72.91734563,61.53376930,62.84015866
72.96655232,61.68417667,62.93331904
73.07900943,61.83887221,63.02862350
73.16605918,61.96665952,63.11031304
73.29459691,62.15587479,63.25600343
73.45433105,62.38464837,63.35227273
73.51072041,62.50493139,63.37928816
73.33822899,62.32300600,63.19071612
72.62242710,61.45218696,62.61063465
72.03334048,60.72051887,62.15834048
71.82557890,60.35602487,62.03848628
71.82986707,60.24281732,62.01018439
71.83565609,60.20100772,61.98102487
71.86824614,60.17978130,62.04020154
71.81710978,60.09498285,61.97427101
71.79952830,60.08469125,61.97234134
71.81410806,60.08554889,61.96397942
71.78366209,60.03752144,61.93396226
