R,G,B
59.79213122,73.95272298,63.18535592
59.85516724,74.06550172,63.22352058
59.91102058,74.22534305,63.30381647
60.12167667,74.39654803,63.47094768
60.23316895,74.48788593,63.73788593
60.35816895,74.67270583,63.83501286
60.49839194,74.78848628,63.95379503
60.56689537,75.05831904,63.95711835
60.62639365,75.21794597,64.03591338
60.72898799,75.40008576,64.15201544
60.79180961,75.53151801,64.24828473
60.75364494,75.50300172,64.15673242
60.32472127,74.89161664,63.78291166
59.84852058,74.11117067,63.24067324
59.53655660,73.53741424,62.96065609
59.43042453,73.26704545,62.84852058
59.34937822,73.15040738,62.75010720
59.30585334,73.12146226,62.73252573
59.40630360,73.20047170,62.82568611
59.50664666,73.38121784,62.98863636
59.62296312,73.54856346,63.08479846
59.67645798,73.60891938,63.10420240
59.68385506,73.63175386,63.14869211
59.78259005,73.76114923,63.16766724
59.81335763,73.85838336,63.31314322
59.92109777,73.99785592,63.38207547
60.01082762,74.14526158,63.42613636
60.17409949,74.37307033,63.60698971
60.28719983,74.55220840,63.75182247
60.34809177,74.66798885,63.80692539
60.48531304,74.85966981,63.91155660
60.09155232,74.45904803,63.28173242
60.18117496,74.56732419,63.35484563
60.29727702,74.72716552,63.44714837
60.38464837,74.85398799,63.64708405
60.49388937,75.02798027,63.66691681
60.56743139,75.22244854,63.75225129
60.68074614,75.32954545,63.87928816
60.75289451,75.48702830,63.88968696
60.60237993,75.27712264,63.73252573
60.18342624,74.62489280,63.34208834
59.73638508,73.86996141,62.87382075
59.48477702,73.44875643,62.70883362
59.38175386,73.26575901,62.61331475
59.38454117,73.20422384,62.60087907
59.37746569,73.23552744,62.61653087
59.47952401,73.32943825,62.65298027
59.64408233,73.53237564,62.83833619
59.65340909,73.60495283,62.87639365
59.72695111,73.68149657,62.90426672
59.80810463,73.78987993,62.99699828
59.85613208,73.87114065,63.01865352
59.97834477,74.02551458,63.13679245
60.07890223,74.18889365,63.24849914
60.18299743,74.35581046,63.31271441
60.28494854,74.49614065,63.45626072
60.37617925,74.64033019,63.56571612
60.50568182,74.82171955,63.62360635
60.56432247,74.97319897,63.70390223
60.65072899,75.15415952,63.78173242
60.74035163,75.25857633,63.91273585
60.82922384,75.39697684,63.95915523
60.90276587,75.58136792,64.06314322
60.96869640,75.67517153,64.12285592
61.09240995,75.87971698,64.22984563
61.16498714,75.98488422,64.31871784
61.20936964,76.09573328,64.39161664
61.01254288,75.81185678,64.15962693
60.48531304,74.99903516,63.63368353
60.05713979,74.17506432,63.09208834
59.77358491,73.59905660,62.89429674
59.64912093,73.32772298,62.72695111
59.57815180,73.20679674,62.62081904
59.57804460,73.19446827,62.63357633
59.63314751,73.23949400,62.74635506
59.70229417,73.36117067,62.82472127
59.79974271,73.50450257,62.92667238
59.83629931,73.51168525,62.92013293
59.90619640,73.59080189,63.01725986
59.96440823,73.69018010,63.03194683
60.02658662,73.78430532,63.08469125
60.16745283,73.99185249,63.22126930
60.22030446,74.07300600,63.23509863
60.34777015,74.24978559,63.36063465
60.41412950,74.35816895,63.40533877
60.52208405,74.54738422,63.50343053
60.58726415,74.67581475,63.60806175
60.69521870,74.83694254,63.70165094
60.78945111,74.98649228,63.80531732
60.86953259,75.11653087,63.84616209
60.94972127,75.25804031,63.96172813
61.01586621,75.36578045,63.99206690
61.15373070,75.54738422,64.17688679
61.19028731,75.72137650,64.19328902
61.27186964,75.83168954,64.26286449
61.28580617,75.86813894,64.28623499
60.95508148,75.34294597,63.92484991
60.40383791,74.52433533,63.44800600
60.00900515,73.66209262,62.94403945
59.80735420,73.22223413,62.70722556
59.69018010,73.04138079,62.63228988
59.62328473,72.93653516,62.54759863
59.62103345,72.94200257,62.58887221
59.72212693,73.03816467,62.70261578
59.86256432,73.21397942,62.85977702
59.88572041,73.27315609,62.79974271
59.90598199,73.32750858,62.83308319
60.00536021,73.45776158,62.93782161
60.07268439,73.51865352,63.00879074
60.17570755,73.69436106,63.08093911
60.25804031,73.84251715,63.21344340
60.38775729,74.03827187,63.33158233
60.47652230,74.20443825,63.41841767
60.56753859,74.34819897,63.51136364
60.69018010,74.52787307,63.58233276
60.76072041,74.67152659,63.64365352
60.87671527,74.85398799,63.81668096
60.95154374,75.01693825,63.80853345
61.01254288,75.10559605,63.93685678
61.16841767,75.30521012,64.02004717
61.21054889,75.41895369,64.15544597
61.29427530,75.60237993,64.23960120
61.39440395,75.74088765,64.30864065
61.48048885,75.86921098,64.36363636
61.42710120,75.94961407,64.35012864
61.06185678,75.40405232,63.99195969
60.60559605,74.56871784,63.49367496
60.20947684,73.81946827,63.04223842
60.03259005,73.47834477,62.93160377
59.99989280,73.34509005,62.84509005
59.93224700,73.26457976,62.85270154
59.99088765,73.34551887,62.90791166
60.09240995,73.49463979,63.06668096
60.15448113,73.62081904,63.04899228
60.16016295,73.71698113,63.01457976
60.23638508,73.78162521,63.10473842
60.33051029,73.85924099,63.22116209
60.36267153,73.91670240,63.27326329
60.46569468,74.06753859,63.39515437
60.53237564,74.20261578,63.37071184
60.61342196,74.39022298,63.50171527
60.72748714,74.56046312,63.58576329
60.78226844,74.65705403,63.67463551
60.89086621,74.87457118,63.78687822
60.91948971,74.96944683,63.81057033
61.04352487,75.10506003,63.88014580
61.14686964,75.28730703,64.02851630
61.19736278,75.38732847,64.03505575
61.30692539,75.54470412,64.17249142
61.34080189,75.63925815,64.21966123
61.41970412,75.79877787,64.35409520
61.30671098,75.65576758,64.18192539
60.84391081,74.95626072,63.70411664
60.39697684,74.17720840,63.28355489
60.04995712,73.55789022,62.98048885
59.86631647,73.34251715,62.77262007
59.83490566,73.26114923,62.79052316
59.87285592,73.26050600,62.82268439
59.97834477,73.41595197,62.89386792
60.08072470,73.54084477,63.01683105
60.16252144,73.71269297,63.11042024
60.17517153,73.72319897,63.08662093
60.19704117,73.77358491,63.12778731
60.24592624,73.87864494,63.18932247
60.36449400,74.00364494,63.32397084
60.45411664,74.17495712,63.33726415
60.49078045,74.26329331,63.40973413
60.64033019,74.48402659,63.52047599
60.65791166,74.56507290,63.56743139
60.77765866,74.78409091,63.72362779
60.84305317,74.90716123,63.79652659
60.91981132,75.04395369,63.84283877
60.98734991,75.14343911,63.93310463
61.02840909,75.25804031,63.99217410
61.12414237,75.39258148,64.06153516
61.18707118,75.52283448,64.05864065
61.29084477,75.66048456,64.20765437
61.37564322,75.81796741,64.28301887
61.30821184,75.80285163,64.21687393
60.96183533,75.27208405,63.86342196
60.33040309,74.30660377,63.23627787
59.84294597,73.47459262,62.83672813
59.59230274,72.93299743,62.44543310
59.45636792,72.68621355,62.31871784
59.41638079,72.59305317,62.36556604
59.38411235,72.59637650,62.31185678
59.48810034,72.74946398,62.46451544
59.54406089,72.83822899,62.58286878
59.64547599,72.97545026,62.60538165
59.66563036,72.99817753,62.64118782
59.68374786,73.08940823,62.70068611
59.77680103,73.17517153,62.72169811
59.85741852,73.30917667,62.81668096
59.97545026,73.51747427,62.95872642
60.07825901,73.65544597,63.03473413
60.17753002,73.79566895,63.06861063
60.30102916,73.96976844,63.23692110
60.33812178,74.07268439,63.25128645
60.43364065,74.26275729,63.38089623
60.49474700,74.39654803,63.42484991
60.59240995,74.56732419,63.54052316
60.67581475,74.66123499,63.58297599
60.75761149,74.81571612,63.69993568
60.86717410,74.97973842,63.82364923
60.93074614,75.08662093,63.89515437
61.01318611,75.23466981,63.92978130
60.91520154,75.11888937,63.82986707
60.42056175,74.44457547,63.33051029
59.84948542,73.49249571,62.79631218
59.52197684,72.78569897,62.40791166
59.34691252,72.44318182,62.22427101
59.24088765,72.27712264,62.13689966
59.24817753,72.27047599,62.19607633
59.27658662,72.34498285,62.23885077
59.42656518,72.53334048,62.40512436
59.55746141,72.70047170,62.49635506
59.57322041,72.76511578,62.52583619
59.54138079,72.86492281,62.50042882
59.59015866,72.88304031,62.54749142
59.74978559,73.04073756,62.63743568
59.80746141,73.13765009,62.69982847
59.93171098,73.31764580,62.83458405
60.02208405,73.50964837,62.95540309
60.10977702,73.62307033,63.03023156
60.19725557,73.81303602,63.16659520
60.29395369,73.91723842,63.18246141
60.37800172,74.08619211,63.27680103
60.43235420,74.25246569,63.35709691
60.52915952,74.36599485,63.43224700
60.64429674,74.50171527,63.56903945
60.70240137,74.63850772,63.63293310
60.76865352,74.75278731,63.67731561
60.82579331,74.87896655,63.72502144
60.79491852,74.85709691,63.68021012
60.34348199,74.20240137,63.23327616
59.80574614,73.28130360,62.72748714
59.44607633,72.66841767,62.31571612
59.23659949,72.29942110,62.12639365
59.19393225,72.24067324,62.08930103
59.19060892,72.24399657,62.14451115
59.25686106,72.33940823,62.21462264
59.37103345,72.51404374,62.29170240
59.40490995,72.58201115,62.32772298
59.45990566,72.63143225,62.37628645
59.44639794,72.63121784,62.38550600
59.47673671,72.74774871,62.43621355
59.53859348,72.79138079,62.46998285
59.63840051,72.96215695,62.57043310
59.73702830,73.11738851,62.71108491
59.78130360,73.21933962,62.72277015
59.91895369,73.41273585,62.89472556
59.97234134,73.52358491,62.95154374
60.02176244,73.67013293,63.00182247
60.14429674,73.79052316,63.10313036
60.19639794,73.88572041,63.17088336
60.27465695,74.01222127,63.20969125
60.32515009,74.14719125,63.30135077
60.38647084,74.25268010,63.38432676
60.10109348,73.87853774,63.05563894
59.57579331,73.03677101,62.49967839
59.08758576,72.25975557,62.02262007
58.79331046,71.77015437,61.73413379
58.69746998,71.62114065,61.71376501
58.63379074,71.56818182,61.63936535
58.63668525,71.58201115,61.67699400
58.78945111,71.79009434,61.83340480
58.86545883,71.92484991,61.95122213
58.94554031,72.04352487,62.00192967
58.96794597,72.07364923,61.98359777
58.97084048,72.13786449,61.94296741
