R,G,B
70.94650515,70.01018439,62.24045883
71.01951115,70.20004288,62.24185249
71.00289451,70.28505575,62.25804031
71.15523156,70.37135506,62.37114065
71.21451544,70.49388937,62.48359777
71.08297599,70.67324185,62.54373928
71.17420669,70.75739708,62.64140223
71.30649657,70.90276587,62.64418954
71.42013293,71.02047599,62.84659091
71.45293739,71.13196827,62.83222556
71.50643225,71.28366209,62.89579760
71.49807033,71.27229846,62.84884220
71.16798885,70.85816895,62.60066467
70.81271441,70.25246569,62.24195969
70.69103774,69.86878216,62.14065180
70.68760720,69.72512864,62.12478559
70.67238422,69.65716123,62.13057461
70.72673671,69.70636792,62.12875214
70.70336621,69.71558748,62.14611921
70.82783019,69.82933105,62.20411664
70.84766295,69.91520154,62.27540738
70.82000429,69.89268868,62.23531304
70.82536449,69.91541595,62.22523585
70.83919383,69.93396226,62.22512864
70.90962693,70.01897513,62.30156518
70.99313894,70.13464837,62.37221269
71.03698542,70.23852916,62.44521870
71.11181389,70.36738851,62.53741424
71.19007290,70.47223413,62.51854631
71.26211407,70.63882933,62.61674528
71.32139794,70.75343053,62.68310463
70.85495283,70.35495283,62.00396655
70.93524871,70.41659520,62.12414237
70.98188250,70.50396655,62.12768010
71.08940823,70.68889365,62.22920240
71.16680961,70.80789022,62.31496569
71.16037736,70.90973413,62.32568611
71.21397942,71.05295883,62.37714408
71.34777015,71.24957118,62.55510292
71.43342624,71.40040738,62.62210549
71.46451544,71.49774871,62.63840051
71.56185678,71.71215695,62.68857204
71.59584048,71.81775300,62.77058319
71.55681818,71.76072041,62.72191252
71.11460120,71.17999571,62.28462693
70.67388508,70.40308748,61.92002573
70.51629503,69.87199828,61.72362779
70.45400943,69.65898370,61.65919811
70.46419383,69.57161235,61.69532590
70.41873928,69.45454545,61.65094340
70.34819897,69.30445969,61.50150086
70.38443396,69.32975986,61.61706690
70.39933533,69.34894940,61.63025300
70.43878645,69.40040738,61.67978130
70.42034734,69.41605918,61.66477273
70.42270583,69.41134220,61.68942967
70.45711835,69.43138937,61.69532590
70.48059605,69.47866638,61.69157376
70.58136792,69.62918096,61.79127358
70.62017581,69.73745712,61.82386364
70.69982847,69.82825901,61.89086621
70.73917238,69.95379503,61.91777444
70.80531732,70.10956261,61.94168096
70.89965695,70.18996569,62.01114923
70.91895369,70.29524014,62.05574614
71.03687822,70.42024014,62.13400515
71.10334477,70.59541166,62.21419383
71.16402230,70.69832762,62.26951115
71.21558748,70.78291166,62.34616209
71.04631218,70.60720412,62.09991424
70.66605918,69.99388937,61.86438679
70.40823328,69.47898799,61.52894511
70.34026587,69.25385935,61.47169811
70.31378645,69.15405232,61.47116209
70.32439966,69.13593482,61.54202401
70.30906947,69.10581046,61.51232847
70.37714408,69.16509434,61.61535163
70.45240137,69.28023156,61.59240995
70.44554031,69.29931389,61.59862779
70.46944683,69.36267153,61.68106775
70.47030446,69.35409520,61.66541595
70.50246569,69.42206261,61.70379503
70.56464408,69.49860635,61.76897513
70.65887650,69.62585763,61.84262436
70.77540738,69.77605060,61.96966123
70.79641938,69.86717410,61.83222556
70.89611921,70.08394082,62.01189966
70.95111492,70.18310463,62.02487136
71.09766295,70.37231990,62.12253431
71.10409520,70.41498714,62.17184820
71.17924528,70.57289880,62.21933962
71.28409091,70.70776158,62.31839623
71.31014151,70.81528731,62.39225986
71.35613208,71.01629503,62.37521441
71.43760720,71.14644082,62.42281304
71.51436535,71.32225557,62.64172384
71.59573328,71.41477273,62.66412950
71.71483705,71.61620926,62.76865352
71.75471698,71.70819039,62.78044597
71.81582333,71.84326758,62.82225557
71.95132933,72.05724700,62.96976844
71.95840480,72.12307033,62.96119211
71.83158233,72.02905232,62.88647084
71.39890652,71.38818611,62.35881218
71.14054460,70.86159949,62.15834048
71.06893225,70.60195111,62.09187393
71.10237993,70.52326329,62.16477273
71.13293310,70.51393654,62.14536878
71.10045026,70.46623070,62.15126501
71.12875214,70.48767153,62.17656518
71.20786878,70.56936106,62.16863208
71.23466981,70.61138508,62.26811750
71.20647513,70.59476844,62.24163808
71.19725557,70.59198113,62.20626072
71.19511149,70.63550600,62.26415094
71.25032161,70.68063894,62.20486707
71.31957547,70.78548456,62.31185678
71.38614923,70.90566038,62.36728130
71.44564751,71.03612779,62.42870926
71.43481990,71.12199828,62.42838765
71.58008148,71.30006432,62.60087907
71.56121355,71.37596484,62.57086192
71.68353345,71.51650943,62.67388508
71.72159091,71.62575043,62.72545026
71.69607633,71.70572470,62.73188250
71.69972127,71.71816038,62.73231132
71.45958405,71.33908662,62.41520154
71.22512864,70.85270154,62.23584906
71.05638937,70.54416810,62.10870497
71.09026587,70.49399657,62.18203259
71.12564322,70.49742710,62.14601201
71.15759005,70.50578902,62.13743568
71.21333619,70.55574614,62.24421098
71.27079760,70.68074614,62.22620069
71.27090480,70.73102487,62.32193396
71.26479417,70.74635506,62.27101201
71.31475129,70.77530017,62.29288165
71.31978988,70.79234563,62.30435249
71.38239708,70.86910377,62.40512436
71.49871355,71.07697256,62.47705832
71.50396655,71.14483276,62.52905232
71.61213551,71.30767581,62.58233276
71.61545883,71.40490995,62.61202830
71.75975557,71.58737136,62.72352058
71.79373928,71.65951973,62.76865352
71.86674528,71.84165952,62.76683105
71.92056175,71.93642796,62.88647084
71.95368782,72.02251286,62.92838765
72.06625214,72.19060892,63.04652659
72.10881218,72.33201115,63.10173671
72.15405232,72.44650515,63.16605918
72.24388937,72.59959262,63.22073328
72.30231561,72.69146655,63.24785592
72.38046741,72.87810892,63.35881218
72.36149228,72.91487993,63.37264151
72.10999142,72.60227273,63.12264151
71.69832762,71.90801887,62.68910806
71.46955403,71.33983705,62.44596913
71.45186535,71.06507290,62.39719125
71.38207547,70.90051458,62.29931389
71.38143225,70.80295883,62.29245283
71.28076758,70.59916381,62.20293739
71.31968268,70.61042024,62.24013722
71.33361921,70.63636364,62.23799314
71.36192110,70.67903087,62.35420240
71.36695969,70.67313465,62.33265437
71.33876501,70.66487993,62.32783019
71.36213551,70.69596913,62.30424528
71.40823328,70.76565180,62.36856775
71.46880360,70.91262864,62.45272298
71.55038593,71.01050600,62.49892796
71.58469125,71.10055746,62.50235849
71.68717839,71.24807033,62.65823328
71.72491424,71.35077187,62.64965695
71.77862350,71.48402659,62.69736278
71.80821184,71.60538165,62.71773156
71.89879931,71.73820755,62.83233276
71.92270583,71.84080189,62.84573328
72.03827187,72.00160806,62.97051887
72.08983705,72.12071184,63.02208405
71.96237136,71.99539022,62.91112779
71.59680532,71.44243139,62.45872642
71.29995712,70.82783019,62.24914237
71.27026158,70.53441252,62.17334906
71.22384220,70.39901372,62.19618353
71.19350343,70.32236278,62.14547599
71.19361063,70.20990566,62.13979417
71.18964408,70.21730274,62.14654803
71.25857633,70.33426244,62.22041166
71.28612779,70.39247427,62.22180532
71.33576329,70.43524871,62.25514580
71.32407804,70.46301458,62.22566467
71.38647084,70.51640223,62.31035592
71.42549314,70.59980703,62.31357204
71.51554460,70.71472985,62.39011578
71.57718696,70.88336192,62.47084048
71.66627358,71.01275729,62.57943825
71.79502573,71.19425386,62.61771012
71.82129074,71.30328045,62.67870926
71.90544597,71.49635506,62.77915952
71.94822041,71.56936106,62.82686535
72.03966552,71.74592624,62.96676672
72.06710978,71.84176672,62.96054889
72.13732847,72.00503859,63.02304889
72.23048885,72.15909091,63.08769297
72.28462693,72.28119640,63.13947256
72.38121784,72.45111492,63.26050600
72.45057890,72.56893225,63.33286878
72.53837907,72.77530017,63.40823328
72.60741852,72.88786449,63.48842196
72.66766724,72.98327616,63.53902230
72.76061321,73.20979846,63.59916381
72.76693825,73.27422813,63.64429674
72.89590480,73.46322899,63.78505575
72.93021012,73.58329760,63.83565609
72.98188250,73.68235420,63.84208834
72.68642796,73.32579331,63.55949828
72.16359348,72.53344768,63.13207547
72.01404374,72.09659091,62.90962693
71.97770154,71.81946827,62.81646655
71.99817753,71.78419811,62.85988422
71.99045883,71.72909520,62.85323756
71.99174528,71.68857204,62.83222556
72.01340051,71.70186535,62.87617925
72.07590051,71.79223842,62.91852487
72.08533448,71.83490566,62.93996569
72.04309605,71.80853345,62.90373070
72.03987993,71.80102916,62.90523156
72.06796741,71.85355918,62.92345626
72.11835334,71.95540309,62.97169811
72.13700686,72.03194683,63.03494854
72.25889794,72.22137650,63.10495283
72.36492281,72.36813894,63.16445111
72.38518439,72.47309177,63.22973842
72.43085334,72.60280875,63.34230274
72.43289022,72.69403945,63.26629503
72.53709262,72.84069468,63.42431389
72.60945540,72.94457547,63.47352058
72.66144940,73.04909949,63.57482847
72.73702830,73.23316895,63.64804889
72.78098199,73.30971269,63.68149657
72.73681389,73.33994425,63.65641081
72.46430103,72.92034734,63.35152230
72.19382504,72.42238422,63.10999142
72.03719983,72.09787736,62.96494425
72.04513293,71.99710549,62.92163379
72.08415523,72.01254288,62.99131647
72.10623928,72.03634220,62.96065609
72.15887650,72.11127787,63.03259005
72.20283019,72.18696398,63.03580617
72.22352058,72.24817753,63.11653087
72.23810034,72.27583619,63.12510720
72.22341338,72.24549743,63.10698971
72.22973842,72.26125643,63.11417238
72.23745712,72.34015866,63.13132504
72.28644940,72.45090051,63.21054889
72.34155232,72.54545455,63.24442539
72.44532590,72.72126930,63.31496569
72.51779588,72.86835334,63.44725557
72.50975557,72.90984134,63.40019297
72.57632933,73.05917667,63.51243568
72.63443396,73.14772727,63.58404803
72.69296741,73.24185249,63.63293310
72.74485420,73.34691252,63.65544597
72.82911664,73.52465695,63.71719554
72.89033019,73.66670240,63.80049314
72.89579760,73.72148370,63.83897942
