R,G,B
63.42860206,73.97362779,63.13464837
63.68578473,73.98166810,63.19414666
63.61760292,74.07429245,63.43106775
63.74281732,74.18664237,63.64569039
63.66895369,74.26586621,63.55681818
63.65405232,74.40212264,63.36331475
63.63250429,74.26993997,63.32825901
63.21172813,73.91713122,63.03462693
62.98649228,73.64772727,62.86299314
62.94950686,73.50546741,62.83158233
62.95079331,73.46644511,62.86181389
62.94468268,73.45025729,62.85849057
62.93031732,73.43503431,62.81539451
62.99764151,73.43460549,62.88314751
63.05070755,73.47973842,62.89676244
63.07375643,73.50128645,62.88550600
63.07225557,73.50943396,62.88550600
63.09819897,73.51415094,62.90308748
63.14183105,73.55156518,62.93042453
63.16723842,73.58083190,62.98306175
63.20143654,73.64397513,62.98810034
63.21933962,73.69554031,63.03087479
63.23917238,73.76940395,63.04684820
63.29159520,73.81582333,63.08469125
63.33608491,73.88153945,63.17141938
63.36878216,73.94382504,63.16209262
63.38003859,74.02519297,63.13689966
63.43599914,74.10216552,63.19864923
63.53076758,74.22244854,63.30521012
63.54931389,74.30231561,63.37435678
63.57043310,74.36374357,63.33608491
63.15040738,73.91284305,62.86031304
63.17152659,73.98027444,62.81882504
63.20583190,74.03173242,62.85741852
63.24678388,74.13464837,62.90394511
63.10527444,74.02873070,62.83469125
62.72319897,73.63379074,62.47448542
62.43406947,73.26147084,62.32386364
62.36974700,73.11159949,62.17742281
62.39140223,73.01125643,62.17570755
62.36492281,72.92345626,62.10248714
62.37939537,72.87553602,62.12274871
62.41284305,72.84423242,62.13518439
62.43492710,72.86524443,62.15190823
62.48252573,72.87960978,62.18406947
62.46912521,72.87993139,62.15780446
62.45186535,72.85645369,62.14633362
62.48231132,72.86824614,62.15834048
62.50428816,72.90180103,62.18310463
62.55370926,72.96923242,62.23016724
62.60956261,73.06646655,62.26693825
62.64633362,73.10966981,62.29620497
62.66520154,73.16948971,62.34208834
62.73113208,73.26265009,62.40351630
62.76490137,73.32900943,62.42506432
62.81978988,73.38582762,62.40598199
62.83919383,73.44210978,62.45132933
62.87682247,73.49110206,62.50332333
62.88700686,73.56753859,62.55124357
62.93374786,73.63829331,62.61556604
63.00010720,73.73102487,62.59251715
63.03323328,73.82654374,62.68310463
63.05767581,73.92538593,62.65394511
63.09626930,73.99656947,62.74485420
63.10484563,74.01479417,62.76736707
62.82429245,73.78677101,62.52326329
62.40458834,73.30510292,62.18246141
62.18964408,72.98402659,61.94543310
62.20358062,72.83051029,61.91563036
62.19725557,72.79138079,61.91638079
62.20304460,72.71204974,61.93181818
62.19671955,72.67635077,61.91048456
62.26779588,72.70690395,61.94318182
62.30467410,72.74099485,61.97212693
62.30017153,72.74120926,61.94961407
62.29920669,72.71387221,61.93599914
62.30017153,72.69897084,61.94704117
62.30756861,72.72073328,61.94286021
62.33501286,72.74967839,61.98338336
62.38046741,72.79984991,62.01275729
62.42377787,72.84573328,62.06228559
62.46987564,72.90448113,62.13003859
62.48895798,72.97437822,62.13368353
62.53366209,73.03837907,62.16123499
62.56646655,73.10205832,62.20969125
62.61063465,73.18353345,62.25192967
62.63271870,73.23027444,62.30445969
62.69050172,73.29877787,62.36138508
62.72009005,73.38261149,62.36224271
62.76811750,73.46880360,62.42999571
62.80403087,73.51929674,62.49978559
62.82793739,73.62575043,62.51189966
62.76629503,73.60570326,62.43760720
62.35666810,73.20272298,62.21044168
62.08351201,72.79706261,61.85538165
61.91756003,72.49474700,61.72394940
61.90490995,72.39783448,61.66605918
