R,G,B
73.33587050,58.82836621,63.66627358
73.27251286,58.82590051,63.67238422
73.53527015,58.97373499,63.92463551
73.67420669,59.07000429,63.94071612
73.70690395,59.07547170,63.90072899
73.66702401,59.11535163,63.95776158
73.69146655,59.18138937,63.94125214
73.79867067,59.40072899,64.11385077
73.94714837,59.59873499,64.24088765
74.08844340,59.83844340,64.33930103
74.19210978,60.03280446,64.40394511
74.31582333,60.23756432,64.54974271
74.42238422,60.38829331,64.61620926
74.56292882,60.58629931,64.74882075
74.67635077,60.81250000,64.87017581
74.78066038,61.02122642,64.96183533
74.94103774,61.17774443,65.05360206
75.03516295,61.39493997,65.14665523
75.15759005,61.60334477,65.20004288
75.25675386,61.79491852,65.38475557
75.33608491,61.99667667,65.45486707
75.43192539,62.19264580,65.52733705
75.56067753,62.39837050,65.63379074
75.60420240,62.48027444,65.68439108
74.99560463,61.82257719,65.18771441
74.16659520,60.63957976,64.43846484
73.61728130,59.74485420,64.02572899
73.45711835,59.42174099,63.87478559
73.29716981,59.14343911,63.76007719
73.09423242,58.82386364,63.57879503
72.88454117,58.51833190,63.39461835
72.42720840,57.99388937,62.83565609
72.50343053,58.05510292,62.93417667
72.56121355,58.12875214,62.99453259
72.54481132,58.15222985,62.98734991
72.55145798,58.15115780,62.98820755
72.61331475,58.22952401,62.97309177
72.71483705,58.34562607,63.10634648
72.84626930,58.52508576,63.19532590
72.92538593,58.67302744,63.24914237
73.07879503,58.89847770,63.42999571
73.20583190,59.10184391,63.48992281
73.30574614,59.24035163,63.54009434
73.40437393,59.41873928,63.66102058
73.52315609,59.57590051,63.71933962
73.63014580,59.76307890,63.87135506
73.74271012,59.95647513,63.94511149
73.89129503,60.16123499,64.03730703
74.01350772,60.35334477,64.16788165
74.08662093,60.57375643,64.22791595
74.19393225,60.76211407,64.31314322
74.32825901,60.99614065,64.47062607
74.45926244,61.20647513,64.54995712
74.55531732,61.42538593,64.64772727
74.25182247,61.03141081,64.32086192
73.46976844,60.06796741,63.66552316
73.02390652,59.20379503,63.22030446
72.84176672,58.81603774,63.06968268
72.77572899,58.69082333,63.08147513
72.67484991,58.51211407,62.94350343
72.58640652,58.32418525,62.85484563
72.61599485,58.31989708,62.87628645
72.75300172,58.43717839,62.95518868
72.82343482,58.55906947,63.05220840
72.81346484,58.55831904,63.07204117
72.81089194,58.54952830,63.01372213
72.86524443,58.59852058,63.07021870
72.99367496,58.77069039,63.18299743
73.11846055,58.94221698,63.31142796
73.27401372,59.12971698,63.45154374
73.37639365,59.34294597,63.44714837
73.49453259,59.49517581,63.57000429
73.59562607,59.62800172,63.64108062
73.64965695,59.78409091,63.71633791
73.81850343,60.00332333,63.84273156
73.94007290,60.17849485,63.94822041
74.08758576,60.37617925,64.04427530
74.14558319,60.55553173,64.11042024
74.28912950,60.76876072,64.25546741
74.41198542,61.01318611,64.44307461
74.58501286,61.24153087,64.53055317
74.67988851,61.48542024,64.62478559
74.41798885,61.17849485,64.38496998
73.73466981,60.28569897,63.76683105
73.25986278,59.54202401,63.34669811
73.15694683,59.22791595,63.20047170
73.13400515,59.15587479,63.20347341
73.06678816,58.96387221,63.15426672
72.95068611,58.78001715,62.98906518
72.92034734,58.76940395,63.02733705
72.97041166,58.82697256,63.05531732
73.02873070,58.87328473,63.13336192
72.99281732,58.85623928,63.10924099
72.96129931,58.82064751,63.07815180
73.01114923,58.87735849,63.11921098
73.13754288,59.06078473,63.20358062
73.25932676,59.20872642,63.29127358
73.35216552,59.34337479,63.40319468
73.45840480,59.49721269,63.51372213
73.53602058,59.64086621,63.54331046
73.63722127,59.79609777,63.61685249
73.69832762,59.92152659,63.68503431
73.78912950,60.03977273,63.76661664
73.89354631,60.21172813,63.87317753
73.97834477,60.34090909,63.92066895
74.06024871,60.49549743,63.97705832
74.13186106,60.69060892,64.06796741
74.23617067,60.84015866,64.21065609
74.22148370,60.88293310,64.18932247
73.64408233,60.18739280,63.67517153
73.04148799,59.29234563,63.13132504
72.71676672,58.74206690,62.87757290
72.61492281,58.48499142,62.75707547
72.52497856,58.28977273,62.69393225
72.33479846,58.03805746,62.56250000
72.17602916,57.79738422,62.46033448
72.18492710,57.78934391,62.44286021
72.21966123,57.79749142,62.46237136
72.20668954,57.79545455,62.49785592
72.13132504,57.73402659,62.47051887
72.14011578,57.72995283,62.46858919
72.13046741,57.73874357,62.47737993
72.20400943,57.84487564,62.53505575
72.35591767,58.01457976,62.60248714
72.43235420,58.17527873,62.71623070
72.53987993,58.30403087,62.78259005
72.65544597,58.43760720,62.88314751
72.74260292,58.56485849,62.96430103
72.82043310,58.68492710,63.00718268
72.93739280,58.87478559,63.13336192
73.02122642,58.99399657,63.22405660
73.12832333,59.14504717,63.27369211
73.20497427,59.27058319,63.34283877
73.26779588,59.37349914,63.40458834
73.35441681,59.52594340,63.50514580
73.44661235,59.69639794,63.58490566
73.53505575,59.81400086,63.64397513
73.23734991,59.49035163,63.38379074
72.51265009,58.54009434,62.77894511
71.94607633,57.67356346,62.30971269
71.68953688,57.28795026,62.14751286
71.52079760,57.01393654,61.97855918
71.30006432,56.71301458,61.74388937
71.10913379,56.37800172,61.68417667
71.00353774,56.23509863,61.61824614
71.09830617,56.31464408,61.66455832
71.19897084,56.40973413,61.79609777
71.21751715,56.44607633,61.78398370
71.22662950,56.47427101,61.79073756
71.24860635,56.51318611,61.82343482
71.35870497,56.65437393,61.88979417
71.48670669,56.87692967,62.04009434
71.64322470,57.04952830,62.09819897
71.76779588,57.20283019,62.20647513
71.91605918,57.41734563,62.39397513
71.96194254,57.56936106,62.41563036
72.10784734,57.74035163,62.55145798
72.21119211,57.91595197,62.61792453
72.36674528,58.12982419,62.73038165
72.51265009,58.32482847,62.83447684
72.64279588,58.50493139,62.89236707
72.78344768,58.70090051,63.01629503
72.92141938,58.91112779,63.18835763
73.03612779,59.12875214,63.29234563
73.19800600,59.34659091,63.38175386
73.32118353,59.50986278,63.47041166
73.46751715,59.71044168,63.57579331
73.52358491,59.87178388,63.70776158
73.19157376,59.52519297,63.38539880
72.48713551,58.59433962,62.77337050
71.97770154,57.81689537,62.36385077
71.78859348,57.49506861,62.19789880
71.71494425,57.34401801,62.21065609
71.61288593,57.12918096,62.10752573
71.44361063,56.89386792,61.92152659
71.40158662,56.85913379,61.92045455
71.54524014,57.02122642,62.09369640
71.67399228,57.16091338,62.16648799
71.69843482,57.20465266,62.20786878
71.73810034,57.25225129,62.21580189
71.79781304,57.32054031,62.24614065
71.94361063,57.52401372,62.42302744
72.05317324,57.73113208,62.45218696
72.19018010,57.90094340,62.59283877
72.34605489,58.13572041,62.71462264
72.47309177,58.29770583,62.85623928
72.52937393,58.47319897,62.87264151
72.67688679,58.66616638,62.97062607
72.78151801,58.81946827,63.08383362
72.96247856,59.02401372,63.20904803
73.06196398,59.25643225,63.31925386
73.19918525,59.43010292,63.42710120
73.30949828,59.65083619,63.46258576
73.46976844,59.85849057,63.62864494
73.59852058,60.03248285,63.79942110
73.68246141,60.21483705,63.81518010
73.74957118,60.39644082,63.85055746
73.91273585,60.61106346,64.01608062
74.01661664,60.79513293,64.09594768
74.06582333,60.92495712,64.15673242
73.55124357,60.39193825,63.70261578
72.88121784,59.38186106,63.15651801
72.50075043,58.64204545,62.73316895
72.33930103,58.35130789,62.61331475
72.26940395,58.20636792,62.60559605
72.14944254,57.95819039,62.48606346
71.96655232,57.73241852,62.36277873
71.97716552,57.69864923,62.45336621
72.08876501,57.80874786,62.53130360
72.15823328,57.91037736,62.58190395
72.15480274,57.92452830,62.57375643
72.14837050,57.94318182,62.60548885
72.21569468,58.00771870,62.60484563
72.30703259,58.14686964,62.70604631
72.45379503,58.34058748,62.84080189
72.63518439,58.54105918,62.95529588
72.74646226,58.74367496,63.02004717
72.82600772,58.93235420,63.07515009
72.95979846,59.07858062,63.23767153
73.05896226,59.24549743,63.30317324
73.16520154,59.38797170,63.42742281
73.26758148,59.55360206,63.46783877
73.42978130,59.77133362,63.57900943
73.51683105,59.97737993,63.70894082
73.63089623,60.14526158,63.74324614
73.75428816,60.33662093,63.88207547
73.86888937,60.53591338,64.00460978
73.97030446,60.73895798,64.11738851
74.12671527,60.93610635,64.26672384
74.23466981,61.11760292,64.34787736
74.24689108,61.13990137,64.35152230
73.64397513,60.39954974,63.82407804
72.94886364,59.29105918,63.17592196
72.57086192,58.61181389,62.89461835
72.44318182,58.31753859,62.71676672
72.37821612,58.18289022,62.74549743
72.24592624,57.92131218,62.56818182
72.14858491,57.77122642,62.52379931
72.24378216,57.85227273,62.64150943
72.33887221,57.97287736,62.68621355
72.32665094,57.98145369,62.68707118
72.31378645,57.93171098,62.66884648
72.30167238,57.93717839,62.67624357
72.35538165,58.00203688,62.67570755
72.50064322,58.17710120,62.85441681
72.64729846,58.36963979,62.95004288
72.80960549,58.58726415,63.08490566
72.94135935,58.76490137,63.13947256
72.99271012,58.90801887,63.20776158
73.12489280,59.03912950,63.32214837
73.24989280,59.20379503,63.44071612
73.32858062,59.34273156,63.47973842
73.46076329,59.50364494,63.63057461
73.56389365,59.63614923,63.65180103
73.66005575,59.84659091,63.75246569
73.80360206,60.02208405,63.88100343
73.94039451,60.25300172,64.01415094
73.98659949,60.34444683,64.06078473
73.59777015,59.82032590,63.69789880
72.74742710,58.67409949,62.99571184
72.18213979,57.79084477,62.49924957
71.97405660,57.39665523,62.37435678
71.87703688,57.21408662,62.32150515
71.75493139,56.98970840,62.18932247
71.62339194,56.77412093,62.04148799
71.66595197,56.82096913,62.08897942
71.86588765,57.03226844,62.28891509
71.89483276,57.08844340,62.35902659
71.88765009,57.09476844,62.34519726
71.90019297,57.08243997,62.33908662
71.94693396,57.14997856,62.37939537
72.08179674,57.30735420,62.47287736
72.18342624,57.52090480,62.63454117
72.34584048,57.70283019,62.68160377
72.51125643,57.91241424,62.81635935
72.65694683,58.11363636,62.94725557
72.78301887,58.24335334,62.97941681
72.86985420,58.38529160,63.06518010
73.00150086,58.59777015,63.17881647
73.08254717,58.74549743,63.24571184
73.22437822,58.93021012,63.35774014
73.35527444,59.12542882,63.51843911
73.49646226,59.33351201,63.62489280
73.66198542,59.53848628,63.76232847
73.74506861,59.70518868,63.81389365
73.50117925,59.43792882,63.57343482
72.62135506,58.30102916,62.84798456
71.92141938,57.25375214,62.35666810
71.59959262,56.75096484,62.01554460
71.53173242,56.59133791,61.98863636
71.37242710,56.35934820,61.84562607
71.22984563,56.13636364,61.74549743
71.20936964,56.08329760,61.73274014
71.41337907,56.31968268,61.97041166
71.55392367,56.51704545,62.01683105
71.63218268,56.61202830,62.04856346
71.66487993,56.67195540,62.07697256
71.75921955,56.77594340,62.16316467
71.89322470,56.98649228,62.27701544
72.10784734,57.22298456,62.48027444
72.25846913,57.47223413,62.56400086
72.40941252,57.71644511,62.69757719
72.58651372,57.98466981,62.81357204
72.72909520,58.16991852,62.96901801
72.87596484,58.37768010,63.05049314
73.03527015,58.59701973,63.22416381
73.17870926,58.87124786,63.35430961
73.36470840,59.13529160,63.41809605
73.53183962,59.38304031,63.58029588
73.68299743,59.63925815,63.70658233
73.82354202,59.93267581,63.79738422
74.02594340,60.17838765,63.96612350
74.15716123,60.42881647,64.07054031
74.25578902,60.62414237,64.15523156
74.41112779,60.88282590,64.31936106
74.53923671,61.18353345,64.46376501
74.63550600,61.43524871,64.58683533
74.37039022,61.10581046,64.32600772
73.63014580,60.12371355,63.66380789
73.20701115,59.44200257,63.27883791
73.06357204,59.19264580,63.16412950
73.02722985,59.07354202,63.13314751
72.93878645,58.89654803,63.06571612
72.80638937,58.69682676,62.92388508
72.79363208,58.66713122,62.94350343
72.92978130,58.83179674,63.02069039
73.04867067,59.02894511,63.18889365
73.08726415,59.09669811,63.20218696
73.15030017,59.16252144,63.27637221
73.22888079,59.30499571,63.34294597
73.36771012,59.52337050,63.39386792
73.50653945,59.74067324,63.51104202
73.63625643,59.96322899,63.61824614
73.74989280,60.19757719,63.74367496
73.88250429,60.44468268,63.87135506
73.97620069,60.61792453,63.99056604
74.05135077,60.78569897,64.04706261
74.19018010,61.01865352,64.13164666
74.33190395,61.31153516,64.32868782
74.50889794,61.53505575,64.52197684
74.63529160,61.76114923,64.64558319
74.71065609,61.96794597,64.65855489
74.87725129,62.20036449,64.76640223
75.02101201,62.43138937,64.92195540
75.13786449,62.65030017,65.08512007
75.25203688,62.88196827,65.17227702
75.35430961,63.10452401,65.27540738
75.48788593,63.28634220,65.36181389
75.63250429,63.54631218,65.50471698
75.72855918,63.73134648,65.60313036
75.31389365,63.20518868,65.17195540
74.66080617,62.34369640,64.64815609
74.32343482,61.78805746,64.35195111
74.22995283,61.61009863,64.24045883
74.22759434,61.44972127,64.19993568
74.09734134,61.23306175,64.11856775
73.94714837,61.03012436,63.96494425
74.01565180,61.02229846,63.99185249
74.05027873,61.06635935,64.07300600
74.09798456,61.09605489,64.11449400
74.07804460,61.06132075,64.08211835
74.07204117,61.04716981,64.07439966
74.10109348,61.05885506,64.11888937
74.14301029,61.12307033,64.13807890
74.26629503,61.28409091,64.21933962
74.37918096,61.42442110,64.35795455
74.44221698,61.55285163,64.42699400
74.52830189,61.69961407,64.47169811
74.59798456,61.81796741,64.53023156
74.64236707,61.89729846,64.55617496
74.71869640,62.03880789,64.65415952
74.80864065,62.15641081,64.76361492
74.89729846,62.27765866,64.75042882
75.00225129,62.44864923,64.89440395
75.10430961,62.54641938,64.93321184
75.20668954,62.70368782,65.08254717
75.29641938,62.87982419,65.14204545
75.38153945,63.04641938,65.26683105
75.38765009,63.07654374,65.22427101
74.89022298,62.46119211,64.79266724
74.20368782,61.49120926,64.21204974
73.83704974,60.79266724,63.81882504
73.72662950,60.39451115,63.67710120
73.61867496,60.15984134,63.56035592
73.48113208,59.82375643,63.38572041
73.35506003,59.57375643,63.29545455
73.36653087,59.55606775,63.30585334
73.37039022,59.58994425,63.36202830
73.37017581,59.55499571,63.34766295
73.31132075,59.42688679,63.27229846
73.26843911,59.37349914,63.24206690
73.27058319,59.38057461,63.19082333
73.32879503,59.45422384,63.29298885
73.45165094,59.62532161,63.44543310
73.52047599,59.73316895,63.47995283
73.60398799,59.86963979,63.56625214
73.70797599,59.97577187,63.66273585
73.75107204,60.05017153,63.63829331
73.82204117,60.17152659,63.75664666
73.90040738,60.26811750,63.78677101
73.97609348,60.41756003,63.87060463
74.07064751,60.57407804,63.97780875
74.17688679,60.68374786,64.04352487
74.20122213,60.93857204,64.12081904
74.32375643,61.10377358,64.22405660
74.25557461,61.05746141,64.18589194
73.61910377,60.17613636,63.56357204
72.93546312,59.03966552,62.98156089
72.50000000,58.33404803,62.61363636
72.31893225,58.01661664,62.55478130
72.13486278,57.70904803,62.39729846
71.95433105,57.39451115,62.19425386
71.74924957,57.13518439,62.10237993
71.82590051,57.18117496,62.15866209
71.96655232,57.35870497,62.28666381
71.98220412,57.38636364,62.31003431
71.99517581,57.39890652,62.29706261
72.00375214,57.41241424,62.25353774
72.02572899,57.51736707,62.37178388
72.17484991,57.67956690,62.45915523
72.31850343,57.87918096,62.63496998
72.48542024,58.09712693,62.73542024
72.61063465,58.29588336,62.84133791
72.71837479,58.45658233,62.88861492
72.80649657,58.60302316,62.96858919
72.86299314,58.74035163,63.02894511
72.98252573,58.89526158,63.08651372
73.14526158,59.09230274,63.29963551
73.28344768,59.32011149,63.34519726
73.41498714,59.51940395,63.47695111
73.55531732,59.68074614,63.54867067
73.66970412,59.88389794,63.69543310
73.76061321,60.08115352,63.70336621
73.86449400,60.28194683,63.81260720
73.98231132,60.49367496,63.92592196
74.07289880,60.66981132,64.08662093
73.64247427,60.17356346,63.62682247
72.79577616,58.94007290,62.96237136
72.17592196,57.96280017,62.43406947
71.88250429,57.51650943,62.19210978
71.73927959,57.28087479,62.09777015
71.56710978,57.01179245,61.96998285
71.30381647,56.69939966,61.79030875
71.28023156,56.57139794,61.76672384
