R,G,B
37.37424957,90.68599914,54.09766295
37.49378216,90.62328473,54.20840480
37.48070326,90.62500000,54.27079760
37.47920240,90.58147513,54.23713551
37.50943396,90.57054031,54.26929674
37.55403087,90.57675815,54.12714408
37.52980274,90.53902230,54.17667238
37.57654374,90.55102916,54.18117496
37.61524443,90.55992710,54.30456690
37.64365352,90.59777015,54.28795026
37.64686964,90.61599485,54.29030875
37.64536878,90.65094340,54.25428816
37.64826329,90.68364065,54.26961835
37.64215266,90.69746998,54.26672384
37.66648799,90.70551029,54.30992710
37.64976415,90.73531304,54.30992710
37.64258148,90.77937393,54.30574614
37.62789451,90.80542453,54.27948113
37.62617925,90.84058748,54.31507290
37.66895369,90.91745283,54.38121784
37.66284305,90.97995283,54.45422384
37.64879931,91.03666381,54.42388508
37.62918096,91.05006432,54.44500429
37.46387221,90.95615352,54.31978988
37.37832333,90.80070755,54.21387221
37.41831046,90.77873070,54.22105489
37.47737993,90.75675386,54.24003002
37.51565180,90.75257290,54.23027444
37.16756003,90.10795455,53.62317753
37.18074614,90.08211835,53.62542882
37.19275300,90.07718696,53.63057461
37.18696398,90.04373928,53.59862779
37.19403945,90.05081475,53.60420240
37.21708834,90.03955832,53.59530446
37.20368782,90.02015437,53.62006861
37.23156089,90.04888508,53.61256432
37.26157804,90.06946827,53.64601201
37.28183962,90.08587050,53.66798885
37.27937393,90.12757290,53.65373070
37.28473413,90.15501715,53.64000858
37.28334048,90.15040738,53.67656518
37.25578902,90.15780446,53.67302744
37.29331046,90.24099485,53.74206690
37.28226844,90.28891509,53.74153087
37.26297170,90.32472127,53.76254288
37.25343053,90.35098628,53.74378216
37.30231561,90.42281304,53.79588336
37.29674099,90.46805317,53.79545455
37.28880789,90.49807033,53.82654374
37.30949828,90.53934391,53.83865780
37.27358491,90.61234991,53.82632933
37.26007719,90.64644082,53.87328473
37.19918525,90.62264151,53.85205832
37.05713979,90.46923242,53.64590480
37.02637221,90.40566038,53.64193825
37.05660377,90.41295026,53.69082333
37.09819897,90.41809605,53.65587479
37.12039022,90.45872642,53.72373499
37.11331475,90.44157376,53.72695111
37.12307033,90.44275300,53.74335334
37.15105060,90.43449828,53.73252573
37.12521441,90.42602916,53.70240137
37.09026587,90.39279588,53.67667238
37.10205832,90.39515437,53.67259863
37.12671527,90.41402230,53.70883362
37.13475557,90.44028731,53.73402659
37.17163379,90.45808319,53.70936964
37.16466552,90.47512864,53.70518868
37.15126501,90.52026158,53.72094768
37.15737564,90.53451973,53.75321612
37.17388508,90.59927101,53.78602058
37.16788165,90.62778731,53.82375643
37.16563036,90.66734563,53.83672813
37.16402230,90.68782161,53.83597770
37.14601201,90.68160377,53.79524014
37.15083619,90.72737993,53.86095626
37.14869211,90.73316895,53.84616209
37.13979417,90.78301887,53.85956261
37.14408233,90.87242710,53.92367067
37.13593482,90.89558319,53.93610635
37.01318611,90.79856346,53.84959262
36.89033019,90.69736278,53.73960120
36.90072899,90.64665523,53.74764151
36.95786878,90.63904374,53.70551029
36.97920240,90.65844768,53.72941681
37.00021441,90.64408233,53.75385935
36.99667667,90.63647084,53.75117925
37.02412093,90.62382075,53.72759434
37.02401372,90.62371355,53.75450257
37.00954117,90.59530446,53.74603345
36.98177530,90.58940823,53.73692110
36.98306175,90.58619211,53.71440823
37.02454974,90.60195111,53.75932676
37.04277444,90.65169383,53.74946398
37.07204117,90.68181818,53.75514580
37.08286878,90.71215695,53.79341767
37.07472127,90.72051887,53.82836621
37.08436964,90.75589623,53.84058748
37.08243997,90.76961835,53.83565609
37.07386364,90.81485849,53.85045026
37.04213122,90.82836621,53.81057033
37.05499571,90.84701973,53.82429245
37.06174957,90.88657804,53.85806175
37.00192967,90.93181818,53.79373928
37.02283448,90.98874357,53.86031304
37.04020154,91.03419811,53.90426672
37.02840909,91.06743139,53.91691681
37.03784305,91.14376072,53.90555317
37.01404374,91.15641081,53.94586192
36.92259863,91.08233276,53.88057461
36.76372213,90.96740995,53.72662950
36.74496141,90.88925815,53.74324614
36.79684820,90.89676244,53.79620497
36.81475129,90.87071184,53.74978559
36.81485849,90.84466123,53.72780875
36.84712693,90.81196398,53.72705832
36.84476844,90.75728988,53.70411664
36.88561321,90.73724271,53.69543310
36.90748285,90.74581904,53.76833190
36.92356346,90.72073328,53.74045883
36.93546312,90.70861921,53.73391938
36.94907804,90.69993568,53.74839194
36.99549743,90.70347341,53.73542024
36.99528302,90.71848199,53.77015437
36.98123928,90.75310892,53.77262007
37.02894511,90.76565180,53.79352487
37.04041595,90.78462693,53.80971269
37.05992710,90.81550172,53.82900943
37.03398370,90.83565609,53.81507290
37.03087479,90.84777015,53.85398799
37.02304889,90.87339194,53.88304031
37.01918954,90.90576758,53.86996141
36.99517581,90.96301458,53.84744854
36.99528302,90.98327616,53.87778731
36.98370497,91.00900515,53.90201544
36.98595626,91.03741424,53.91241424
36.97909520,91.09123070,53.88046741
36.98799314,91.12457118,53.88915094
36.98788593,91.14954974,53.92056175
36.96676672,91.21933962,53.95776158
36.98381218,91.27326329,53.96944683
36.98006003,91.30017153,54.04781304
36.87285592,91.25364494,53.94939966
36.71590909,91.08747856,53.79824185
36.66102058,91.00900515,53.76329331
36.69157376,90.99346055,53.80306604
36.76297170,91.00246569,53.85688250
36.76608062,90.99978559,53.83297599
36.77594340,90.94532590,53.82804460
36.76072041,90.89536878,53.78044597
36.82675815,90.87607204,53.82547170
36.84487564,90.85774014,53.79427530
36.85195111,90.85109348,53.78762864
36.85956261,90.85098628,53.76801029
36.88604202,90.84058748,53.80606775
36.87231990,90.83051029,53.75632504
36.93696398,90.84605489,53.80789022
36.93792882,90.86224271,53.81078473
36.94822041,90.87768010,53.81292882
36.95475986,90.89322470,53.82032590
36.95218696,90.92131218,53.83190395
36.95207976,90.93471269,53.83865780
36.93803602,90.96740995,53.84669811
36.94575472,90.98456261,53.86170669
36.96665952,91.01511578,53.95036449
36.94500429,91.04920669,53.90576758
36.96044168,91.09466123,53.90919811
36.96623070,91.12403516,53.92184820
36.96440823,91.16466552,53.94982847
36.97159091,91.20636792,53.96987564
36.97727273,91.24056604,53.97834477
36.96505146,91.30017153,53.96140652
36.93096055,91.33490566,53.96483705
36.93985849,91.34659091,54.01961835
36.93439108,91.41595197,54.01672384
36.93246141,91.44875643,54.03666381
36.91091338,91.48681389,54.04470412
36.80606775,91.39997856,53.96816038
36.62821612,91.24378216,53.84176672
36.61878216,91.18932247,53.80767581
36.64279588,91.17066895,53.86385077
36.69018010,91.18096055,53.85463122
36.68942967,91.16777444,53.88196827
36.70047170,91.11149228,53.77572899
36.69832762,91.08983705,53.84734134
36.73734991,91.09262436,53.86299314
36.75986278,91.07697256,53.79609777
36.75889794,91.06207118,53.82364923
36.75718268,91.04599057,53.83887221
36.78891509,91.05177959,53.86996141
36.83769297,91.07783019,53.87307033
36.84240995,91.09176672,53.88271870
36.87124786,91.11567324,53.84487564
36.85527444,91.13014580,53.89343911
36.86363636,91.14515437,53.87328473
36.85409520,91.15662521,53.88689966
36.86599485,91.19811321,53.93546312
36.89108062,91.21805317,53.94961407
36.87714408,91.25235849,53.93138937
36.85795455,91.26511578,53.95293739
36.87757290,91.31818182,53.97577187
36.85838336,91.33329760,53.98274014
36.89483276,91.39011578,53.99860635
36.89054460,91.45272298,54.00439537
36.90726844,91.47287736,54.03055317
36.86728130,91.51500858,54.02894511
36.86427959,91.56067753,54.06239280
36.87757290,91.58404803,54.09798456
36.85173671,91.63604202,54.10023585
36.83608491,91.67442110,54.09444683
36.83147513,91.70111492,54.11942539
36.80767581,91.72084048,54.10784734
36.61352916,91.59208834,53.98788593
36.56099914,91.47888079,53.92099057
36.56142796,91.47695111,53.90083619
36.62500000,91.48391938,53.93867925
36.65780446,91.48413379,53.98992281
36.64301029,91.46655232,53.91209262
36.66187822,91.42645798,53.92002573
36.67334906,91.43964408,53.96194254
36.68396226,91.42753002,53.96376501
36.67753002,91.41037736,53.93481990
36.67924528,91.39879931,53.92581475
36.69093053,91.37617925,53.96880360
36.71258576,91.38539880,53.94800600
36.75310892,91.42484991,53.93878645
36.75192967,91.42817324,53.95540309
36.75150086,91.46247856,53.97577187
36.74592624,91.46976844,54.02830189
36.74721269,91.48670669,54.00407376
36.76768868,91.50439537,54.01918954
36.78269726,91.51811750,54.02433533
36.75568182,91.55478130,54.06099914
36.78580617,91.62735849,54.08233276
36.79609777,91.64965695,54.05617496
36.76918954,91.68171098,54.07322041
36.78451973,91.70197256,54.12285592
36.75889794,91.75568182,54.15641081
36.77572899,91.80510292,54.18782161
36.75664666,91.84691252,54.13850772
36.77208405,91.88186106,54.12156947
36.77497856,91.90169383,54.16477273
36.77272727,91.92624357,54.20926244
36.75257290,91.96655232,54.21140652
36.67978130,91.92763722,54.17570755
36.49035163,91.76758148,53.99185249
36.45336621,91.72437822,53.97780875
36.48820755,91.73606346,54.02101201
36.53462693,91.73038165,54.03677101
36.58565609,91.74496141,54.07515009
36.59766295,91.76125643,54.03955832
36.61599485,91.75964837,54.03237564
36.61342196,91.75085763,54.03108919
36.61138508,91.73316895,54.00932676
36.60130789,91.69864923,54.00739708
36.60677530,91.66295026,54.01522298
36.62457118,91.65330189,54.03816467
36.64869211,91.67570755,54.07364923
36.65812607,91.71065609,54.07021870
36.67828045,91.73166810,54.09551887
36.69436106,91.75761149,54.10538165
36.70743997,91.77540738,54.06335763
36.68299743,91.78226844,54.13990137
36.70143654,91.80199400,54.08672813
36.70443825,91.81507290,54.10195111
36.68953688,91.84133791,54.14150943
36.70004288,91.86792453,54.13636364
36.69811321,91.88829331,54.14065180
