R,G,B
73.02154803,60.37639365,65.72673671
73.12178388,60.43910806,65.79138079
73.22759434,60.55756861,65.80928388
73.38572041,60.68825043,65.95947684
73.41284305,60.77283448,65.97759434
73.48006003,60.95711835,66.08597770
73.59005146,61.07182676,66.11427959
73.58158233,61.29256003,66.15555317
73.69232419,61.41766724,66.20047170
73.81710978,61.57611492,66.31753859
73.92988851,61.73670669,66.38572041
74.05510292,61.87500000,66.49463979
74.18942967,62.05177959,66.62596484
74.29159520,62.22148370,66.67152659
74.38325472,62.36760292,66.80864065
74.48456261,62.48649228,66.88464837
74.57139794,62.62671527,66.96805317
74.65930532,62.74871355,67.11728130
74.77272727,62.94811321,67.18910806
74.85388079,63.05113636,67.22909520
74.92613636,63.17699400,67.29041595
75.02508576,63.31325043,67.38593482
75.04631218,63.36513722,67.40566038
74.59101630,62.86781732,66.98295455
73.88604202,62.03762864,66.40105060
73.50182247,61.40555317,66.06057033
73.35034305,61.17817324,65.92924528
73.32697256,61.13400515,65.92560034
73.32900943,61.11610206,65.96108491
73.33254717,61.09991424,66.00514580
73.31282161,61.07611492,65.96162093
72.88604202,60.61417238,65.35752573
72.88797170,60.59894940,65.32536449
72.79877787,60.52605060,65.29191681
72.71269297,60.39644082,65.19811321
72.67184820,60.35280875,65.17013293
72.68267581,60.36385077,65.17045455
72.72662950,60.39794168,65.23970840
72.81946827,60.50686106,65.30724700
72.93085334,60.65855489,65.42334906
73.04170240,60.78355489,65.51768868
73.09830617,60.88968696,65.57472127
73.19639794,61.00750429,65.59841338
73.25557461,61.10205832,65.71676672
73.35634648,61.20969125,65.74785592
73.41230703,61.29652659,65.82525729
73.46676672,61.37585763,65.88271870
73.56003431,61.48091767,65.93160377
73.61320755,61.58962264,66.00707547
73.69864923,61.70894082,66.09165952
73.79524014,61.83426244,66.16273585
73.90373070,61.97984563,66.27315609
73.98499142,62.10463122,66.31003431
74.09069468,62.22984563,66.39901372
74.19478988,62.37853774,66.49281732
74.28945111,62.54052316,66.57890223
74.34916381,62.64783448,66.64011578
74.44532590,62.76650943,66.74892796
74.54459691,62.88186106,66.80338765
74.62328473,63.01286449,66.89065180
74.67785163,63.16520154,66.95765437
74.73649228,63.26500858,67.05338765
74.81882504,63.41959691,67.09219554
74.66305746,63.23574185,66.98295455
74.05467410,62.49871355,66.41402230
73.53977273,61.77669383,65.95400943
73.27004717,61.34509005,65.68278302
73.19789880,61.19168096,65.66680961
73.20100772,61.16948971,65.65105060
73.19125214,61.12071184,65.67131218
73.17281304,61.08168954,65.60120069
73.19146655,61.08254717,65.65158662
73.20979846,61.08415523,65.65533877
73.19554031,61.06196398,65.63057461
73.09680532,60.93021012,65.54234563
72.98852916,60.79663379,65.42935249
72.98123928,60.72480703,65.45851201
72.99731990,60.74410377,65.44114494
73.09980703,60.84080189,65.52111921
73.17195540,60.92988851,65.62178388
73.29952830,61.08297599,65.73649228
73.37853774,61.19779160,65.79684820
73.46376501,61.28151801,65.82139794
73.48949400,61.32590051,65.88100343
73.60152230,61.46816038,65.98252573
73.60109348,61.52690823,65.97545026
73.68546312,61.60141509,66.07740137
73.76908233,61.69296741,66.12371355
73.83115352,61.75482419,66.20057890
73.86438679,61.82064751,66.20679674
73.96333619,61.97577187,66.28344768
74.07900943,62.09487564,66.38882933
74.17999571,62.21430103,66.47995283
74.22062607,62.34734134,66.50192967
74.29684820,62.43342624,66.56142796
74.40051458,62.55874786,66.65694683
74.47384220,62.65994854,66.73970840
74.55874786,62.79116638,66.81153516
74.66466552,62.90801887,66.89644082
74.72244854,63.01018439,66.95100772
74.80971269,63.11888937,67.03934391
74.87832333,63.23509863,67.13711407
74.74517581,63.16455832,67.00310892
74.17216981,62.47148370,66.44554031
73.52776587,61.57236278,65.88818611
73.17356346,61.06207118,65.61267153
73.04781304,60.83855060,65.47448542
73.02487136,60.80874786,65.48842196
73.04738422,60.76393654,65.50664666
73.02444254,60.67367067,65.49292453
73.00364494,60.63550600,65.49656947
73.02540738,60.62360635,65.53076758
73.03591338,60.62532161,65.50010720
72.96087050,60.53269726,65.39440395
72.88636364,60.37242710,65.36599485
72.85527444,60.32525729,65.36642367
72.86996141,60.34337479,65.34444683
72.97180532,60.45015009,65.45701115
73.06871784,60.58093911,65.57450686
73.18921527,60.73274014,65.61417238
73.31325043,60.83769297,65.72748714
73.39129503,60.97748714,65.76779588
73.45819039,61.06475129,65.80167238
73.53237564,61.18010292,65.81710978
73.57397084,61.28773585,65.89729846
73.65898370,61.35409520,66.01447256
73.74839194,61.47759434,66.10130789
73.82354202,61.59819897,66.17903087
73.92120497,61.71408662,66.21194254
74.03151801,61.81925386,66.31260720
74.09562607,61.93846484,66.42560034
74.21794597,62.06250000,66.46065609
74.32761578,62.19982847,66.54030875
74.43900086,62.35087907,66.61653087
74.54009434,62.46826758,66.74120926
74.64890652,62.58758576,66.83608491
74.76822470,62.76372213,66.84691252
74.83940823,62.87500000,66.96440823
74.95015009,63.02819468,67.02647942
74.99839194,63.13861492,67.13196827
75.09541166,63.25257290,67.17345626
75.18128216,63.38153945,67.30478130
75.25836192,63.49978559,67.31946827
75.27251286,63.55210120,67.36427959
74.80274443,63.02422813,66.93825043
74.13143225,62.17367067,66.36192110
73.70540309,61.59991424,65.98906518
73.60409520,61.35045026,65.94028731
73.63282590,61.36245712,65.95057890
73.70411664,61.41423671,65.98627787
73.72148370,61.42238422,66.02401372
73.74356775,61.42388508,66.05831904
73.79834906,61.49946398,66.09251715
73.81507290,61.51425815,66.12960978
73.76307890,61.44682676,66.07697256
73.64933533,61.31035592,65.89783448
73.64451115,61.24013722,65.93610635
73.67527873,61.27240566,65.98059605
73.77401372,61.34562607,66.04738422
73.86663808,61.46226415,66.10420240
73.99195969,61.61202830,66.18557033
74.08243997,61.77304889,66.27133362
74.16981132,61.88421955,66.37628645
74.22577187,62.01415094,66.40844768
74.30456690,62.08629931,66.48938679
74.38228988,62.19725557,66.55295883
74.46119211,62.29738422,66.61878216
74.53687822,62.38850772,66.70090051
74.64590480,62.48359777,66.76490137
74.70315180,62.58243997,66.79620497
74.81689537,62.71976844,66.87521441
74.91777444,62.85731132,67.00268010
75.00032161,62.98681389,67.10302316
75.06035592,63.08587050,67.10195111
75.18546312,63.22705832,67.23627787
75.26436535,63.34519726,67.31646655
75.39751286,63.48885077,67.38786449
75.48670669,63.60506003,67.45283019
75.58855060,63.75664666,67.49914237
75.68578473,63.91927530,67.61867496
75.77315609,64.02079760,67.69318182
75.87135506,64.16209262,67.74313894
75.83940823,64.17581475,67.79266724
75.31818182,63.57118353,67.28151801
74.67216981,62.72577187,66.75428816
74.25964837,62.13014580,66.40866209
74.11492281,61.89729846,66.32354202
74.14762007,61.90619640,66.31571612
74.20283019,61.89772727,66.39558319
74.18750000,61.89933533,66.33972985
74.20283019,61.89451115,66.36234991
74.28837907,61.92924528,66.42367067
74.26350772,61.95390223,66.40180103
74.19671955,61.84037307,66.38196827
74.07472127,61.66327187,66.22051887
74.04952830,61.63164666,66.20668954
74.09509005,61.64311750,66.23209691
74.16873928,61.71933962,66.30553173
74.29502573,61.90844768,66.44446827
74.41391509,62.03419811,66.54749142
74.49388937,62.17120497,66.61245712
74.58790738,62.28387650,66.72770154
74.65662521,62.37210549,66.74667667
74.72041166,62.44446827,66.76843911
74.77036878,62.51114923,66.78151801
74.79373928,62.56325043,66.82482847
74.85506003,62.65544597,66.88314751
74.93910806,62.75836192,66.95626072
75.02412093,62.86545883,67.00954117
75.15351630,63.03644940,67.14172384
75.20411664,63.11835334,67.16509434
75.18396226,63.09476844,67.14815609
74.67109777,62.49078045,66.66337907
73.99410377,61.60559605,66.13668525
73.63475557,61.06207118,65.78076758
73.52315609,60.92624357,65.78194683
73.55274443,60.88786449,65.79395369
73.55456690,60.85409520,65.76061321
73.49903516,60.80906947,65.72780875
73.51693825,60.79481132,65.72748714
73.56968268,60.85613208,65.78108919
73.56239280,60.87542882,65.74335334
73.51125643,60.76961835,65.67313465
73.45175815,60.67560034,65.65501715
73.43803602,60.66402230,65.63893654
73.47695111,60.67999571,65.70701115
73.55971269,60.77454974,65.78955832
73.69629074,60.96558748,65.92034734
73.76886792,61.08897942,65.97791595
73.87467839,61.24024443,66.00761149
73.97502144,61.38775729,66.12853774
74.04867067,61.46676672,66.15673242
74.12575043,61.54191681,66.24003002
74.19232419,61.62092624,66.26951115
74.22673671,61.71430103,66.27219125
74.29427530,61.83544168,66.35366638
